CERTBOX 2938237 6 76883 86956 26744 77023 87259 27321 71130 90509 26847 71563 90784 27432
CERTPAIR 2938237 3 36551 74078 88730 25419 28961 71563 90003 27823 1 1
CERTPAIR 2938237 3 36701 74126 88776 25416 29074 71588 90104 27823 1 1
CERTPAIR 2938237 3 36472 74053 88709 25419 28958 71562 90072 27823 1 1
CERTPAIR 2938237 3 36594 74092 88770 25413 28720 71503 90090 27681 1 1
CERTPAIR 2938237 4 36551 74078 88730 25419 28747 71509 90201 27763 1 2
CERTPAIR 2938237 4 36701 74126 88776 25416 29074 71588 90104 27823 1 2
CERTPAIR 2938237 4 36472 74053 88709 25419 28958 71562 90072 27823 1 2
CERTEND 2938237
CERTBOX 2938239 6 76874 87284 26771 77016 87587 27308 71130 90509 27183 71547 90784 27432
CERTPAIR 2938239 3 36701 74126 88776 25416 28961 71563 90003 27823 1 1
CERTPAIR 2938239 3 36756 74145 88808 25412 29074 71588 90104 27823 1 1
CERTPAIR 2938239 3 36551 74078 88730 25419 28958 71562 90072 27823 1 1
CERTPAIR 2938239 3 36883 74183 88841 25409 28720 71503 90090 27681 1 2
CERTPAIR 2938239 4 36701 74126 88776 25416 28961 71563 90003 27823 1 2
CERTPAIR 2938239 4 36756 74145 88808 25412 29074 71588 90104 27823 1 2
CERTPAIR 2938239 4 36551 74078 88730 25419 28958 71562 90072 27823 1 2
CERTEND 2938239
CERTBOX 2938916 6 76883 86956 26744 77023 87259 27321 71272 91440 27586 71684 92015 27764
CERTPAIR 2938916 3 36088 73950 89329 25379 28961 71563 90003 27823 1 2
CERTPAIR 2938916 3 35854 73864 89239 25386 46293 76485 90873 27970 3 2
CERTPAIR 2938916 3 35981 73910 89297 25380 28958 71562 90072 27823 1 2
CERTPAIR 2938916 3 36010 73921 89310 25378 29074 71588 90104 27823 1 1
CERTPAIR 2938916 4 28961 71563 90003 27823 46109 76441 90924 27833 2 1
CERTPAIR 2938916 4 29074 71588 90104 27823 45881 76386 90982 27913 2 1
CERTPAIR 2938916 4 28958 71562 90072 27823 46590 76552 90781 27832 2 1
CERTEND 2938916
CERTBOX 3803742 6 75996 74042 26600 76065 74131 27057 80351 74757 27520 80467 75038 27945
CERTPAIR 3803742 3 54388 78306 74345 26146 44835 76109 74303 27293 1 1
CERTPAIR 3803742 3 54955 78422 74369 26161 44830 76108 74263 27290 1 1
CERTPAIR 3803742 3 53382 78099 74244 26161 44801 76101 74328 27294 1 1
CERTPAIR 3803742 3 54835 78398 74347 26153 44814 76104 74239 27287 1 1
CERTPAIR 3803742 4 54388 78306 74345 26146 44835 76109 74303 27293 1 2
CERTPAIR 3803742 4 54955 78422 74369 26161 44830 76108 74263 27290 1 2
CERTPAIR 3803742 4 53382 78099 74244 26161 44801 76101 74328 27294 1 1
CERTEND 3803742
