s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	disk_tests	center_membership_tests	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
17489	6	6	52	6	1	1.496	1.488	93	27	150	164	3599	3599	115168	3496	103	192	1154	994	1348	4224	15411	91	0	103	192	34	108	0.062
17495	4	4	59	0	1	0.115	0.114	19	12	19	20	277	277	8864	276	1	1	102	65	109	253	1095	5	0	1	1	4	20	0.004
17533	4	4	46	4	1	0.677	0.677	53	13	53	63	1385	1385	44320	1350	35	81	458	275	617	1592	11689	35	0	35	81	17	96	0.034
17679	4	4	8	0	1	0.111	0.112	19	12	19	20	223	223	7136	221	2	2	74	68	79	222	2249	5	0	2	2	1	1	0.001
17845	6	6	5	0	1	0.085	0.085	11	3	17	24	88	88	2816	82	6	6	26	28	28	42	3632	7	2	6	6	0	0	0.002
17979	4	0	26	4	1	0.317	0.318	29	12	29	22	699	699	22368	676	23	35	151	172	353	540	3539	12	0	23	35	2	6	0.009
18001	6	6	8	0	1	1.092	1.093	75	10	116	121	2041	2041	65312	1968	73	88	656	727	585	2771	27732	85	0	73	88	20	23	0.025
18038	2	0	60	2	1	0.277	0.277	29	14	29	18	680	680	21760	663	17	28	142	141	380	484	2564	10	0	17	28	3	8	0.008
18056	6	6	43	4	1	0.640	0.640	53	16	66	49	1440	1440	46080	1404	36	42	413	502	489	2088	9926	36	0	36	42	13	22	0.014
18295	6	6	3	0	1	0.035	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
18779	6	6	4	0	1	0.035	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
18823	2	0	8	2	1	0.105	0.105	41	21	41	24	227	227	7264	211	16	24	79	39	93	112	837	15	0	16	24	2	6	0.007
18940	6	2	8	4	1	0.193	0.193	39	20	45	58	453	453	14496	435	18	20	145	85	205	199	1702	11	0	18	20	4	5	0.006
18944	6	6	2	0	1	0.035	0.035	6	3	12	8	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
