seed a b F mask q3_4 q4_4 closed_4 q3_8 q4_8 closed_8 q3_16 q4_16 closed_16
230923 28622 58559 7043 4 0 5 1 0 9 1 0 14 1
230923 10414 62866 6287 6 4 3 1 8 5 1 16 9 1
230923 1755 37092 6720 4 0 5 1 0 10 1 0 18 1
230923 20996 37091 6539 4 0 0 0 0 0 0 0 0 0
230923 10906 25010 6827 4 0 4 1 0 8 1 0 16 1
230923 25024 32675 7024 6 4 1 0 8 3 1 16 6 1
230923 17439 32931 6202 6 1 0 0 1 0 0 2 0 0
230923 10906 17658 6978 4 0 5 1 0 9 1 0 17 1
230923 41105 43501 6220 4 0 0 0 0 0 0 0 0 0
230924 6610 66901 1350 4 0 8 1 0 16 1 0 31 1
230924 49833 80141 1014 4 0 7 1 0 11 1 0 12 1
230924 2930 19191 1463 4 0 4 1 0 5 1 0 7 1
230924 37074 67075 1177 6 8 8 1 16 16 1 32 32 1
230924 113994 123241 1068 4 0 3 1 0 3 1 0 3 1
230924 9669 26148 2967 4 0 6 1 0 8 1 0 10 1
230924 9802 46783 1429 4 0 0 0 0 0 0 0 3 1
230924 10549 96766 1203 4 0 0 0 0 0 0 0 0 0
230924 113995 121272 1695 4 0 0 0 0 0 0 0 0 0
230924 36834 62754 1149 4 0 6 1 0 13 1 0 24 1
230924 122196 122907 1452 4 0 4 1 0 8 1 0 13 1
230924 14977 16901 1990 2 5 0 1 9 0 1 17 0 1
230924 41345 71407 1027 4 0 8 1 0 16 1 0 26 1
230924 34721 47371 1256 4 0 4 1 0 7 1 0 7 1
230924 26664 53814 1302 4 0 4 1 0 8 1 0 10 1
230924 16903 44649 2572 4 0 4 1 0 7 1 0 14 1
230924 393 2407 1894 4 0 4 1 0 5 1 0 5 1
230924 8778 10420 2641 6 0 0 0 0 0 0 0 0 0
230924 20842 45376 1159 6 5 5 1 9 9 1 16 14 1
230924 15112 46776 1238 4 0 4 1 0 8 1 0 12 1
230924 6770 21242 3526 6 0 0 0 0 0 0 0 0 0
230924 19416 47537 5678 4 0 4 1 0 7 1 0 13 1
230924 25006 26681 4899 6 2 0 0 2 0 0 3 0 0
230924 12225 52073 4871 6 8 4 1 15 10 1 30 17 1
230924 17674 26679 5996 4 0 0 0 0 0 0 0 0 0
230924 17667 32674 5784 6 1 0 0 3 0 0 8 0 0
230924 8786 26681 4832 4 0 0 0 0 0 0 0 0 0
230924 17437 45638 5007 6 5 1 0 10 2 0 18 3 1
230924 15711 54229 4964 2 8 0 1 14 0 1 26 0 1
230924 20997 30873 4978 6 0 0 0 0 0 0 1 0 0
230924 10421 21246 4093 6 0 0 0 0 0 0 0 0 0
230924 4921 21242 3535 4 0 0 0 0 0 0 0 0 0
230924 32675 41351 5560 6 8 1 0 15 1 0 28 5 1
230924 1233 32918 3959 6 0 0 0 0 0 0 0 0 0
230924 41350 45393 5849 4 0 4 1 0 8 1 0 10 1
230924 14004 14183 3459 6 0 0 0 1 0 0 1 0 0
230924 15712 34977 4201 2 4 0 1 8 0 1 14 0 1
230924 10414 32932 5525 6 0 0 0 0 0 0 1 0 0
230924 3099 49926 4921 4 0 3 1 0 3 1 0 3 1
230924 6771 45636 4215 4 0 0 0 0 0 0 0 0 0
230924 25011 51833 6960 4 0 4 1 0 9 1 0 21 1
230924 17437 26937 6284 6 0 0 0 0 0 0 0 0 0
230924 32668 60710 6723 4 0 4 1 0 8 1 0 17 1
230924 28627 39234 6800 4 0 3 1 0 5 1 0 9 1
230924 22873 41364 6659 4 0 2 0 0 3 1 0 6 1
230924 32917 49676 6171 4 0 4 1 0 8 1 0 20 1
230924 5429 28866 7454 4 0 8 1 0 12 1 0 20 1
230924 17661 60455 6636 4 0 4 1 0 8 1 0 20 1
230924 17440 58549 6645 6 8 0 0 14 2 0 24 8 1
230924 17429 32936 6519 4 0 0 0 0 0 0 0 2 0
230924 1754 39216 7272 4 0 4 1 0 8 1 0 16 1
230924 10418 69352 7067 4 0 8 1 0 15 1 0 29 1
230924 32920 45391 6183 4 0 0 0 0 2 0 0 2 0
230924 37095 45389 7160 4 0 4 1 0 8 1 0 14 1
230924 20997 32931 6398 6 4 0 0 8 0 0 12 0 0
230924 19188 58560 7416 4 0 4 1 0 8 1 0 14 1
230924 28631 37089 6505 4 0 0 0 0 2 0 0 6 1
230924 15915 45393 6335 4 0 0 0 0 1 0 0 4 1
230924 25019 32672 6484 6 3 1 0 6 3 1 8 5 1
230924 28627 49930 6030 6 5 0 0 8 0 0 11 1 0
