R 21 11 1 746482 2769 3708422 10 7 8620
R 21 11 2 732879 2769 3708422 10 7 8620
R 21 11 4 701562 2753 3674545 10 7 8620
R 21 11 8 650694 2752 3673161 10 7 8620
R 21 11 16 555696 2414 3233715 9 7 8620
R 21 11 32 447402 1239 1808084 4 2 2520
R 21 11 64 336751 1239 1808084 4 2 2520
R 21 11 128 222654 860 1336926 4 2 2520
R 21 11 256 60665 459 557161 2 2 2520
R 21 11 512 19661 459 557161 2 2 2520
R 21 11 1024 4524 109 149596 1 1 1452
R 21 12 1 1074644 90857 428996967 120 67 280728
R 21 12 2 1068162 90857 428996967 120 67 280728
R 21 12 4 1052231 90857 428996967 120 67 280728
R 21 12 8 1032844 90857 428996967 120 67 280728
R 21 12 16 1003654 90857 428996967 120 67 280728
R 21 12 32 942895 90857 428996967 120 67 280728
R 21 12 64 863864 90437 428445025 120 67 280728
R 21 12 128 743032 90437 428445025 120 67 280728
R 21 12 256 627299 90115 427983262 119 66 278834
R 21 12 512 488486 88639 425888728 115 65 277371
R 21 12 1024 300021 87963 424886214 115 65 277371
R 21 13 1 1121324 90865 429005736 120 67 280728
R 21 13 2 1120759 90865 429005736 120 67 280728
R 21 13 4 1117536 90865 429005736 120 67 280728
R 21 13 8 1114698 90865 429005736 120 67 280728
R 21 13 16 1106972 90865 429005736 120 67 280728
R 21 13 32 1086425 90861 429001321 120 67 280728
R 21 13 64 1043066 90861 429001321 120 67 280728
R 21 13 128 977660 90861 429001321 120 67 280728
R 21 13 256 860256 90861 429001321 120 67 280728
R 21 13 512 771574 90861 429001321 120 67 280728
R 21 13 1024 640393 90861 429001321 120 67 280728
R 21 14 1 1144273 91113 429310724 120 67 280728
R 21 14 2 1143743 91040 429230562 120 67 280728
R 21 14 4 1142330 91040 429230562 120 67 280728
R 21 14 8 1140684 91040 429230562 120 67 280728
R 21 14 16 1140076 91040 429230562 120 67 280728
R 21 14 32 1139126 91040 429230562 120 67 280728
R 21 14 64 1130614 90872 429017594 120 67 280728
R 21 14 128 1111632 90866 429006811 120 67 280728
R 21 14 256 1057097 90866 429006811 120 67 280728
R 21 14 512 964009 90866 429006811 120 67 280728
R 21 14 1024 883155 90866 429006811 120 67 280728
R 22 10 1 114496 246 302130 0 0 0
R 22 10 2 78139 246 302130 0 0 0
R 22 10 4 52764 230 268253 0 0 0
R 22 10 8 30222 230 268253 0 0 0
R 22 10 16 16536 230 268253 0 0 0
R 22 10 32 7706 230 268253 0 0 0
R 22 10 64 1585 230 268253 0 0 0
R 22 10 128 374 230 268253 0 0 0
R 22 10 256 103 7 7778 0 0 0
R 22 10 512 3 0 0 0 0 0
R 22 10 1024 0 0 0 0 0 0
R 22 11 1 513435 2767 3706401 10 7 8620
R 22 11 2 500587 2767 3706401 10 7 8620
R 22 11 4 471800 2751 3672524 10 7 8620
R 22 11 8 428291 2750 3671140 10 7 8620
R 22 11 16 352352 2412 3231694 9 7 8620
R 22 11 32 282932 1239 1808084 4 2 2520
R 22 11 64 217738 1239 1808084 4 2 2520
R 22 11 128 137998 860 1336926 4 2 2520
R 22 11 256 31889 459 557161 2 2 2520
R 22 11 512 8756 459 557161 2 2 2520
R 22 11 1024 1814 109 149596 1 1 1452
R 22 12 1 838565 90855 428994946 120 67 280728
R 22 12 2 832158 90855 428994946 120 67 280728
R 22 12 4 816554 90855 428994946 120 67 280728
R 22 12 8 798177 90855 428994946 120 67 280728
R 22 12 16 771788 90855 428994946 120 67 280728
R 22 12 32 719039 90855 428994946 120 67 280728
R 22 12 64 656630 90435 428443004 120 67 280728
R 22 12 128 562810 90435 428443004 120 67 280728
