s2_ordinal	s2_mask	post_core_mask	F	proved_mask	complete	wall_ms	cpu_ms	cells	outside_cells	node_tests	corner_tests	corner_evals	lb_tests	credited_nodes	credited_sites	excluded_nodes	leaf_ambiguous	splits	frontier_copies	point_tests	fixed_centers	fixed_refutations	gate_nodes	gate_sites	exclude_gate_nodes	exclude_gate_sites	gate_ms
36001	6	6	33	0	1	0.168	0.168	14	7	355	355	11360	354	1	4	124	91	139	451	3494	6	2	1	4	2	3	0.002
36004	4	0	35	4	1	0.471	0.471	41	17	1122	1122	35904	1068	54	81	294	296	478	1412	4249	19	0	54	81	7	28	0.023
36006	6	4	22	6	1	0.867	0.868	73	31	1947	1947	62304	1869	78	108	538	620	711	3232	11985	53	0	78	108	16	32	0.031
36245	2	2	29	0	1	0.402	0.402	26	7	1015	1015	32480	998	17	28	272	402	324	1123	3670	16	0	17	28	6	6	0.008
36249	2	2	34	2	1	6.577	0.547	37	14	1316	1316	42112	1286	30	59	345	465	476	1304	4231	18	0	30	59	11	33	0.019
36304	2	2	43	2	1	0.472	0.471	37	14	1188	1188	38016	1159	29	55	299	413	447	1308	4207	18	0	29	55	9	34	0.019
36312	2	2	37	2	1	0.567	0.567	45	17	1414	1414	45248	1381	33	52	356	476	549	1844	5482	23	0	33	52	10	16	0.015
36453	6	2	15	6	1	0.417	0.417	49	16	946	946	30272	863	83	91	297	241	325	892	4923	44	0	83	91	4	4	0.021
36676	6	0	22	6	1	2.088	0.290	29	12	648	648	20736	588	60	77	154	153	281	452	1424	22	0	60	77	2	2	1.842
36869	6	6	28	0	1	0.276	0.277	30	16	496	496	15872	478	18	18	179	157	142	538	7229	13	1	18	18	3	4	0.005
36886	2	0	143	2	1	0.292	0.293	33	15	648	648	20736	624	24	79	140	58	426	788	3891	13	0	24	79	3	6	0.018
36889	2	0	148	2	1	0.289	0.289	33	15	640	640	20480	612	28	83	138	52	422	788	3921	13	0	28	83	3	6	0.018
36890	2	0	147	2	1	0.758	0.320	33	15	646	646	20672	618	28	87	138	54	426	812	3899	13	0	28	87	3	6	0.020
36924	6	6	8	0	1	0.040	0.039	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
37245	2	0	17	2	1	0.186	0.186	25	12	390	390	12480	366	24	41	107	58	201	120	2386	7	0	24	41	1	2	0.010
37302	6	6	7	0	1	0.036	0.036	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
37907	6	6	11	0	1	0.116	0.116	15	6	123	123	3936	118	5	10	42	30	46	60	4365	8	1	5	10	2	7	0.004
38124	6	0	22	6	1	0.276	0.277	25	13	434	434	13888	417	17	39	128	47	242	160	5789	11	0	17	39	4	25	0.013
38407	4	0	16	4	1	0.383	0.383	29	12	704	704	22528	670	34	55	219	106	345	496	8018	12	0	34	55	5	9	0.014
38436	6	6	9	0	1	0.036	0.036	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
38510	6	6	10	0	1	1.431	1.431	93	14	1003	1003	32096	898	105	113	282	386	230	1011	73860	76	1	105	113	9	15	0.029
38521	6	2	14	6	1	0.851	0.851	53	17	861	861	27552	810	51	61	320	188	302	800	41937	44	0	51	61	12	31	0.020
38712	6	6	20	0	1	0.712	0.712	42	16	567	567	18144	526	41	43	167	217	142	511	32486	30	0	41	43	3	6	0.012
39006	4	4	40	4	1	0.544	0.543	53	25	878	878	28096	821	57	84	215	337	269	916	12816	20	0	57	84	5	6	0.020
39038	4	4	41	4	1	0.758	0.758	81	38	1222	1222	39104	1139	83	111	359	517	263	1564	22490	35	0	83	111	10	12	0.027
39118	6	6	40	0	1	0.824	0.824	51	11	1059	1059	33888	971	88	105	280	409	282	1078	34219	52	0	88	105	9	13	0.027
39125	4	4	49	4	1	0.362	0.362	37	17	587	587	18784	554	33	51	173	157	224	596	9814	15	0	33	51	4	8	0.033
39144	6	6	52	0	1	0.826	0.826	53	11	1084	1084	34688	1005	79	98	291	414	300	1155	31948	50	0	79	98	15	26	0.027
39147	4	4	52	0	1	0.228	0.228	28	16	387	387	12384	371	16	16	110	161	100	465	6170	10	0	16	16	4	5	0.005
39308	6	0	37	6	1	6.744	0.744	37	12	1072	1072	34304	1012	60	106	280	342	390	840	22554	36	0	60	106	9	17	0.027
39758	6	6	7	0	1	0.034	0.035	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
40106	6	6	21	0	1	0.668	0.668	38	10	924	924	29568	860	64	73	292	244	324	680	25504	31	0	64	73	8	14	0.020
40126	6	6	7	0	1	0.034	0.034	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
40228	6	6	12	0	1	0.483	0.380	30	10	351	351	11232	329	22	23	108	133	88	378	17365	20	1	22	23	3	5	0.007
40380	6	6	2	0	1	0.031	0.032	6	3	0	0	0	0	0	0	0	0	0	5	2576	2	2	0	0	0	0	0.000
40405	2	0	17	2	1	1.173	0.479	33	15	790	790	25280	755	35	76	288	124	343	460	10924	13	0	35	76	5	5	0.018
40621	6	6	23	6	1	4.794	0.839	49	12	1854	1854	59328	1727	127	166	539	511	677	1604	11854	60	0	127	166	22	83	0.052
